,label,combined,center,polygon
0,0,"[0.038314176245210725, 0.02681992337164751, 0.019157088122605363, 0.011494252873563218, 0.0, 0.02681992337164751, 0.0038314176245210726, 0.011494252873563218, 0.02681992337164751, 0.053639846743295021, 0.022988505747126436, 0.02681992337164751, 0.049808429118773943, 0.030651340996168581, 0.02681992337164751, 0.034482758620689655, 0.02681992337164751, 0.030651340996168581, 0.038314176245210725, 0.042145593869731802, 0.049808429118773943, 0.057471264367816091, 0.045977011494252873, 0.057471264367816091, 0.13333333333333333, 0.057142857142857141, 0.019047619047619049, 0.028571428571428571, 0.0, 0.0095238095238095247, 0.0, 0.019047619047619049, 0.019047619047619049, 0.057142857142857141, 0.038095238095238099, 0.10476190476190476, 0.019047619047619049, 0.047619047619047616, 0.085714285714285715, 0.057142857142857141, 0.019047619047619049, 0.076190476190476197, 0.095238095238095233, 0.085714285714285715, 0.057142857142857141, 0.066666666666666666, 0.057142857142857141, 0.038095238095238099]","(116.47408312579606, 39.855474104483292)","POLYGON ((116.4941827811264 39.85310634721157, 116.4748076440934 39.87119735762025, 116.4746148255722 39.87119300491933, 116.4508691619422 39.85280600659955, 116.4369109363702 39.83230452236224, 116.4356393878671 39.82891257748723, 116.4361194625854 39.82047854318466, 116.4941827811264 39.85310634721157))"
1,1,"[0.17241379310344829, 0.080459770114942528, 0.030651340996168581, 0.034482758620689655, 0.01532567049808429, 0.0076628352490421452, 0.049808429118773943, 0.10344827586206896, 0.13026819923371646, 0.11877394636015326, 0.13409961685823754, 0.14559386973180077, 0.11877394636015326, 0.13026819923371646, 0.1111111111111111, 0.1111111111111111, 0.13409961685823754, 0.088122605363984668, 0.14942528735632185, 0.18773946360153257, 0.18390804597701149, 0.24521072796934865, 0.16091954022988506, 0.17624521072796934, 0.15238095238095239, 0.13333333333333333, 0.019047619047619049, 0.028571428571428571, 0.047619047619047616, 0.066666666666666666, 0.047619047619047616, 0.047619047619047616, 0.11428571428571428, 0.15238095238095239, 0.19047619047619047, 0.20952380952380953, 0.18095238095238095, 0.34285714285714286, 0.2857142857142857, 0.15238095238095239, 0.10476190476190476, 0.21904761904761905, 0.13333333333333333, 0.17142857142857143, 0.20952380952380953, 0.25714285714285712, 0.17142857142857143, 0.20000000000000001]","(116.45926327669018, 39.874613016979808)","POLYGON ((116.4746148255722 39.87119300491933, 116.4599448076189 39.88807950983024, 116.4526498060199 39.88618750010365, 116.4508691619422 39.85280600659955, 116.4746148255722 39.87119300491933))"
2,2,"[0.084291187739463605, 0.072796934865900387, 0.038314176245210725, 0.02681992337164751, 0.053639846743295021, 0.072796934865900387, 0.065134099616858232, 0.049808429118773943, 0.057471264367816091, 0.084291187739463605, 0.07662835249042145, 0.091954022988505746, 0.061302681992337162, 0.068965517241379309, 0.10727969348659004, 0.088122605363984668, 0.10727969348659004, 0.10727969348659004, 0.18390804597701149, 0.23371647509578544, 0.14942528735632185, 0.084291187739463605, 0.14942528735632185, 0.10727969348659004, 0.15238095238095239, 0.076190476190476197, 0.066666666666666666, 0.057142857142857141, 0.0095238095238095247, 0.038095238095238099, 0.028571428571428571, 0.10476190476190476, 0.047619047619047616, 0.085714285714285715, 0.16190476190476191, 0.20952380952380953, 0.20952380952380953, 0.15238095238095239, 0.16190476190476191, 0.18095238095238095, 0.076190476190476197, 0.13333333333333333, 0.14285714285714285, 0.12380952380952381, 0.16190476190476191, 0.17142857142857143, 0.18095238095238095, 0.10476190476190476]","(116.44484255000894, 39.875382251033365)","POLYGON ((116.4508691619422 39.85280600659955, 116.4526498060199 39.88618750010365, 116.4465162821917 39.88821082009495, 116.4341482824873 39.88071332684011, 116.4369109363702 39.83230452236224, 116.4508691619422 39.85280600659955))"
3,3,"[0.18390804597701149, 0.072796934865900387, 0.099616858237547887, 0.038314176245210725, 0.0076628352490421452, 0.030651340996168581, 0.045977011494252873, 0.14559386973180077, 0.24904214559386972, 0.16091954022988506, 0.10344827586206896, 0.10727969348659004, 0.17624521072796934, 0.1417624521072797, 0.1111111111111111, 0.12260536398467432, 0.21455938697318008, 0.17624521072796934, 0.27969348659003829, 0.28735632183908044, 0.28735632183908044, 0.31034482758620691, 0.3065134099616858, 0.21839080459770116, 0.17142857142857143, 0.15238095238095239, 0.047619047619047616, 0.057142857142857141, 0.019047619047619049, 0.0, 0.038095238095238099, 0.076190476190476197, 0.21904761904761905, 0.20952380952380953, 0.19047619047619047, 0.29523809523809524, 0.20952380952380953, 0.18095238095238095, 0.31428571428571428, 0.14285714285714285, 0.21904761904761905, 0.30476190476190479, 0.32380952380952382, 0.38095238095238093, 0.32380952380952382, 0.22857142857142856, 0.25714285714285712, 0.2857142857142857]","(116.42412995472269, 39.874200198875485)","POLYGON ((116.4369109363702 39.83230452236224, 116.4341482824873 39.88071332684011, 116.4228874394091 39.88695871840711, 116.4021848633923 39.87409576342561, 116.4022863343285 39.87150008668552, 116.4356393878671 39.82891257748723, 116.4369109363702 39.83230452236224))"
4,4,"[0.15708812260536398, 0.080459770114942528, 0.057471264367816091, 0.02681992337164751, 0.042145593869731802, 0.053639846743295021, 0.068965517241379309, 0.088122605363984668, 0.16858237547892721, 0.15708812260536398, 0.12643678160919541, 0.10344827586206896, 0.13793103448275862, 0.091954022988505746, 0.10344827586206896, 0.10727969348659004, 0.091954022988505746, 0.14559386973180077, 0.16858237547892721, 0.18390804597701149, 0.20689655172413793, 0.16858237547892721, 0.17241379310344829, 0.16091954022988506, 0.12380952380952381, 0.11428571428571428, 0.057142857142857141, 0.057142857142857141, 0.057142857142857141, 0.019047619047619049, 0.076190476190476197, 0.076190476190476197, 0.15238095238095239, 0.028571428571428571, 0.14285714285714285, 0.26666666666666666, 0.095238095238095233, 0.17142857142857143, 0.21904761904761905, 0.16190476190476191, 0.20000000000000001, 0.26666666666666666, 0.30476190476190479, 0.33333333333333331, 0.14285714285714285, 0.22857142857142856, 0.20952380952380953, 0.19047619047619047]","(116.39442990354735, 39.85094015348664)","POLYGON ((116.4361194625854 39.82047854318466, 116.4356393878671 39.82891257748723, 116.4022863343285 39.87150008668552, 116.371517915469 39.85132063245862, 116.4319930096755 39.79726447977336, 116.4361194625854 39.82047854318466))"
5,5,"[0.1532567049808429, 0.099616858237547887, 0.022988505747126436, 0.022988505747126436, 0.022988505747126436, 0.053639846743295021, 0.065134099616858232, 0.14942528735632185, 0.15708812260536398, 0.095785440613026823, 0.088122605363984668, 0.11494252873563218, 0.1111111111111111, 0.07662835249042145, 0.10344827586206896, 0.14942528735632185, 0.14942528735632185, 0.16858237547892721, 0.26053639846743293, 0.23371647509578544, 0.21839080459770116, 0.22605363984674329, 0.19540229885057472, 0.16858237547892721, 0.18095238095238095, 0.16190476190476191, 0.11428571428571428, 0.019047619047619049, 0.047619047619047616, 0.028571428571428571, 0.076190476190476197, 0.17142857142857143, 0.15238095238095239, 0.16190476190476191, 0.18095238095238095, 0.23809523809523808, 0.20000000000000001, 0.15238095238095239, 0.16190476190476191, 0.16190476190476191, 0.15238095238095239, 0.26666666666666666, 0.31428571428571428, 0.3619047619047619, 0.29523809523809524, 0.32380952380952382, 0.26666666666666666, 0.12380952380952381]","(116.3744561898377, 39.828594645006298)","POLYGON ((116.4353109865451 39.73684792760343, 116.4319930096755 39.79726447977336, 116.371517915469 39.85132063245862, 116.3709562777581 39.85139539109274, 116.3414788993778 39.82680666583568, 116.4193035035897 39.73359288203626, 116.4353109865451 39.73684792760343))"
6,6,"[0.080459770114942528, 0.068965517241379309, 0.01532567049808429, 0.02681992337164751, 0.019157088122605363, 0.034482758620689655, 0.022988505747126436, 0.065134099616858232, 0.045977011494252873, 0.11494252873563218, 0.10344827586206896, 0.095785440613026823, 0.13409961685823754, 0.12260536398467432, 0.095785440613026823, 0.084291187739463605, 0.07662835249042145, 0.10344827586206896, 0.1111111111111111, 0.18773946360153257, 0.17624521072796934, 0.14942528735632185, 0.11877394636015326, 0.11494252873563218, 0.057142857142857141, 0.038095238095238099, 0.038095238095238099, 0.047619047619047616, 0.047619047619047616, 0.019047619047619049, 0.047619047619047616, 0.057142857142857141, 0.15238095238095239, 0.31428571428571428, 0.32380952380952382, 0.27619047619047621, 0.23809523809523808, 0.35238095238095241, 0.34285714285714286, 0.31428571428571428, 0.20952380952380953, 0.20952380952380953, 0.19047619047619047, 0.14285714285714285, 0.20000000000000001, 0.15238095238095239, 0.12380952380952381, 0.16190476190476191]","(116.49044439299206, 39.872996718576985)","POLYGON ((116.4941827811264 39.85310634721157, 116.5537287073117 39.84581051984519, 116.5511234446424 39.85389684388463, 116.5500792933014 39.85492920604418, 116.5023632610724 39.88516226712109, 116.485386694806 39.88421231214181, 116.4748076440934 39.87119735762025, 116.4941827811264 39.85310634721157))"
7,7,"[0.19157088122605365, 0.10344827586206896, 0.045977011494252873, 0.057471264367816091, 0.02681992337164751, 0.011494252873563218, 0.049808429118773943, 0.049808429118773943, 0.084291187739463605, 0.12260536398467432, 0.072796934865900387, 0.10344827586206896, 0.088122605363984668, 0.095785440613026823, 0.10727969348659004, 0.12643678160919541, 0.11494252873563218, 0.13409961685823754, 0.18007662835249041, 0.2413793103448276, 0.21072796934865901, 0.25287356321839083, 0.20689655172413793, 0.19540229885057472, 0.13333333333333333, 0.085714285714285715, 0.047619047619047616, 0.066666666666666666, 0.057142857142857141, 0.019047619047619049, 0.047619047619047616, 0.057142857142857141, 0.076190476190476197, 0.076190476190476197, 0.13333333333333333, 0.21904761904761905, 0.20952380952380953, 0.14285714285714285, 0.24761904761904763, 0.17142857142857143, 0.25714285714285712, 0.20952380952380953, 0.2857142857142857, 0.37142857142857144, 0.39047619047619048, 0.27619047619047621, 0.19047619047619047, 0.17142857142857143]","(116.47337434941549, 39.886871900112396)","POLYGON ((116.4748076440934 39.87119735762025, 116.485386694806 39.88421231214181, 116.4803344326078 39.89302545415297, 116.4738967585889 39.89562395626847, 116.4599707816749 39.88812176170187, 116.4599448076189 39.88807950983024, 116.4746148255722 39.87119300491933, 116.4748076440934 39.87119735762025))"
8,8,"[0.20689655172413793, 0.11877394636015326, 0.057471264367816091, 0.030651340996168581, 0.045977011494252873, 0.034482758620689655, 0.042145593869731802, 0.061302681992337162, 0.10344827586206896, 0.1417624521072797, 0.14559386973180077, 0.17241379310344829, 0.19923371647509577, 0.27203065134099619, 0.27586206896551724, 0.23754789272030652, 0.31417624521072796, 0.27203065134099619, 0.3065134099616858, 0.4061302681992337, 0.31800766283524906, 0.38697318007662834, 0.32183908045977011, 0.26053639846743293, 0.16190476190476191, 0.085714285714285715, 0.057142857142857141, 0.095238095238095233, 0.047619047619047616, 0.028571428571428571, 0.0095238095238095247, 0.066666666666666666, 0.12380952380952381, 0.20952380952380953, 0.27619047619047621, 0.2857142857142857, 0.33333333333333331, 0.34285714285714286, 0.34285714285714286, 0.37142857142857144, 0.32380952380952382, 0.40000000000000002, 0.40952380952380951, 0.43809523809523809, 0.41904761904761906, 0.40000000000000002, 0.31428571428571428, 0.31428571428571428]","(116.46630068016918, 39.900002425286935)","POLYGON ((116.4738967585889 39.89562395626847, 116.4722046647393 39.90547428125418, 116.4594330114339 39.90308201394839, 116.4599707816749 39.88812176170187, 116.4738967585889 39.89562395626847))"
9,9,"[0.16091954022988506, 0.034482758620689655, 0.057471264367816091, 0.042145593869731802, 0.01532567049808429, 0.0076628352490421452, 0.034482758620689655, 0.057471264367816091, 0.084291187739463605, 0.080459770114942528, 0.095785440613026823, 0.099616858237547887, 0.14942528735632185, 0.095785440613026823, 0.14559386973180077, 0.16475095785440613, 0.12643678160919541, 0.20306513409961685, 0.20689655172413793, 0.23371647509578544, 0.27969348659003829, 0.24521072796934865, 0.19540229885057472, 0.20689655172413793, 0.16190476190476191, 0.038095238095238099, 0.10476190476190476, 0.047619047619047616, 0.076190476190476197, 0.028571428571428571, 0.0095238095238095247, 0.028571428571428571, 0.028571428571428571, 0.066666666666666666, 0.12380952380952381, 0.14285714285714285, 0.17142857142857143, 0.085714285714285715, 0.11428571428571428, 0.16190476190476191, 0.085714285714285715, 0.11428571428571428, 0.19047619047619047, 0.16190476190476191, 0.3619047619047619, 0.25714285714285712, 0.17142857142857143, 0.17142857142857143]","(116.45280418380645, 39.899517272096823)","POLYGON ((116.4526498060199 39.88618750010365, 116.4599448076189 39.88807950983024, 116.4599707816749 39.88812176170187, 116.4594330114339 39.90308201394839, 116.4590022400483 39.90365741451178, 116.4525621928846 39.90645315039697, 116.4425245213488 39.89894377123063, 116.4465162821917 39.88821082009495, 116.4526498060199 39.88618750010365))"
