name,value,iso
Australia,552.2864,AUS
Austria,82.8416,AUT
Belarus,87.3198,BLR
Belgium,120.1715,BEL
Bulgaria,66.1333,BGR
Canada,701.7912,CAN
Croatia,28.2564,HRV
Cyprus,9.1544,CYP
Czech Republic,133.4955,CZE
Denmark,57.7483,DNK
Estonia,20.9556,EST
Finland,67.0189,FIN
France,491.4965,FRA
Germany,916.4951,DEU
Greece,115.045,GRC
Hungary,66.1477,HUN
Iceland,4.4132,ISL
Ireland,57.5125,IRL
Italy,488.792,ITA
Japan,1307.7284,JPN
Latvia,11.4942,LVA
Lithuania,21.6117,LTU
Luxembourg,12.0979,LUX
Malta,3.0212,MLT
Netherlands,194.3789,NLD
New Zealand,72.8349,NZL
Norway,53.3642,NOR
Poland,399.3895,POL
Portugal,69.9864,PRT
Romania,123.3455,ROU
Russian Federation,2320.8344,RUS
Slovakia,45.297,SVK
Slovenia,19.5094,SVN
Spain,350.4837,ESP
Sweden,61.4489,SWE
Switzerland,50.0097,CHE
Turkey,422.4158,TUR
Ukraine,401.5763,UKR
United Kingdom,556.4578,GBR
United States of America,6665.7009,USA
