iso,value
AUS,511.9385
AUT,79.3503
BLR,58.0862
BEL,118.9032
BGR,58.1539
CAN,789.0583
HRV,21.2247
CYP,9.0779
CZE,125.5363
DNK,55.0844
EST,16.6928
FIN,42.4414
FRA,446.8698
DEU,925.8297
GRC,112.5054
HUN,62.3603
ISL,5.1595
IRL,53.8109
ITA,458.2019
JPN,1232.2943
LVA,-5.685
LTU,11.1282
LUX,11.8037
MLT,2.9615
NLD,197.6448
NZL,59.2947
NOR,25.7913
POL,377.4772
PRT,64.6667
ROU,98.0406
RUS,1692.3995
SVK,37.8297
SVN,9.8906
ESP,321.4125
SWE,26.2173
CHE,46.5987
TUR,378.7756
UKR,394.2865
GBR,553.1485
USA,5797.2845
