,numeric,alpha3,name,gdp,population,name_deu
0,4,AFG,Afghanistan,21121935456,31627506,Afghanistan
1,8,ALB,Albania,13413053494,2889676,Albania
2,12,DZA,Algeria,2.13518E11,38934334,Algeria
3,16,ASM,"American,Samoa",#NV,#NV,American Samoa
4,20,AND,Andorra,#NV,#NV,Andorra
5,24,AGO,Angola,1.46676E11,24227524,Angola
6,660,AIA,Anguilla,3.107929774E8,14460,Anguilla
7,10,ATA,Antarctica,#NV,#NV,Antarctica
8,28,ATG,"Antigua,and,Barbuda",1248153953,90900,Antigua and Barbuda
9,32,ARG,Argentina,5.4349E11,42980026,Argentina
10,51,ARM,Armenia,10888813703,3006154,Armenia
11,533,ABW,Aruba,2663687151,103441,Aruba
12,36,AUS,Australia,1.47144E12,23622353,Australia
13,40,AUT,Austria,4.36888E11,8516916,Austria
14,31,AZE,Azerbaijan,75193456982,9629779,Azerbaijan
15,44,BHS,Bahamas,8510495770,383054,Bahamas
16,48,BHR,Bahrain,33849994572,1361930,Bahrain
17,50,BGD,Bangladesh,1.73062E11,159077513,Bangladesh
18,52,BRB,Barbados,4352750000,283380,Barbados
19,112,BLR,Belarus,76139252027,9500422,Belarus
20,56,BEL,Belgium,5.31547E11,11226322,Belgium
21,84,BLZ,Belize,1699150000,351706,Belize
22,204,BEN,Benin,9575264608,10598482,Benin
23,60,BMU,Bermuda,5601074000,62376,Bermuda
24,64,BTN,Bhutan,1965048927,765008,Bhutan
25,68,BOL,"Bolivia,,Plurinational,State,of",32996188013,10561887,Bolivia  Plurinational State of
26,535,BES,"Bonaire,,Sint,Eustatius,and,Saba",#NV,#NV,Bonaire  Sint Eustatius and Saba
27,70,BIH,"Bosnia,and,Herzegovina",18490920340,3817554,Bosnia and Herzegovina
28,72,BWA,Botswana,15813393709,2219937,Botswana
29,74,BVT,"Bouvet,Island",#NV,#NV,Bouvet Island
30,76,BRA,Brazil,2.34652E12,206077898,Brazil
31,86,IOT,"British,Indian,Ocean,Territory",#NV,#NV,British Indian Ocean Territory
32,96,BRN,"Brunei,Darussalam",17104193944,417394,Brunei Darussalam
33,100,BGR,Bulgaria,56717843383,7201308,Bulgaria
34,854,BFA,"Burkina,Faso",12755524612,17589198,Burkina Faso
35,108,BDI,Burundi,2868836461,10816860,Burundi
36,116,KHM,Cambodia,16777820333,15328136,Cambodia
37,120,CMR,Cameroon,32050820689,22773014,Cameroon
38,124,CAN,Canada,1.78539E12,35587793,Canada
39,132,CPV,"Cape,Verde",1854766969,513906,Cape Verde
40,136,CYM,"Cayman,Islands",3479801474,59172,Cayman Islands
41,140,CAF,"Central,African,Republic",1838020266,4804316,Central African Republic
42,148,TCD,Chad,12790697438,13587053,Chad
43,152,CHL,Chile,2.58062E11,17762647,Chile
44,156,CHN,China,1.04306E13,1369435670,China
45,162,CXR,"Christmas,Island",#NV,#NV,Christmas Island
46,166,CCK,"Cocos,(Keeling),Islands",#NV,#NV,Cocos (Keeling) Islands
47,170,COL,Colombia,3.7774E11,47791393,Colombia
48,174,COM,Comoros,6.477201025E8,769991,Comoros
