iso,value
AFG,3.033472553
ALB,-0.099830097
DZA,1.940399184
ASM,0.238404968
ADO,-4.19194055
AGO,3.269552406
ATG,1.011701141
ARG,1.033055553
ARM,0.465529171
ABW,0.503969821
AUS,1.565431283
AUT,0.647909059
AZE,1.276982804
BHS,1.37024992
BHR,0.92227535
BGD,1.214377385
BRB,0.309958314
BLR,0.042247571
BEL,0.378347065
BLZ,2.159305277
BEN,2.641076758
BMU,0.276918817
BTN,1.364945236
BOL,1.545278399
BIH,-0.156496091
BWA,1.975614057
BRA,0.886360083
BRN,1.422402986
BGR,-0.568389264
BFA,2.911018317
BDI,3.297803748
CPV,1.302061946
KHM,1.641596126
CMR,2.498110306
CAN,1.080977717
CYM,1.366353005
CAF,1.968283386
TCD,3.301595089
CHI,0.47930442
CHL,1.057293581
CHN,0.506311592
COL,0.944004218
COM,2.404550925
ZAR,3.15317545
COG,2.486347213
CRI,1.081430428
CIV,2.44243261
HRV,-0.407343185
CUB,0.146040659
CUW,1.324556891
CYP,1.046142743
CZE,-0.035253542
DNK,0.437745718
DJI,1.335093432
DMA,0.465548899
DOM,1.203986962
ECU,1.530902125
EGY,2.218863304
SLV,0.296162908
GNQ,2.942546724
ERI,2.208360412
EST,-0.330744377
ETH,2.50680866
FRO,-0.147130465
FJI,0.674955886
FIN,0.451710861
FRA,0.425985399
PYF,1.083477045
GAB,2.236266447
GMB,3.231992692
GEO,0.375919387
DEU,0.301977923
GHA,2.350075661
GRC,-0.635054055
GRL,-0.333398667
GRD,0.421200052
GUM,1.456149626
GTM,2.048252145
GIN,2.698294373
GNB,2.438527521
GUY,0.375100609
HTI,1.340572727
HND,1.424638087
HKG,0.751257934
HUN,-0.317989532
ISL,1.174491856
IND,1.226730296
IDN,1.260193359
IRN,1.276545297
IRQ,3.006160834
IRL,0.313212277
IMY,0.766181328
ISR,1.914674953
ITA,1.813714211
JAM,0.239809415
JPN,-0.162550166
JOR,2.250037525
KAZ,1.479068715
KEN,2.644121396
KIR,1.758837015
PRK,0.525083325
KOR,0.405959707
KSV,0.276387564
KWT,4.3408509
KGZ,1.983827978
LAO,1.647676918
LVA,-1.113976603
LBN,1.179986019
LSO,1.24688598
LBR,2.367408337
LBY,-0.111824622
LIE,0.66195113
LTU,-0.963688184
LUX,2.312929524
MAC,1.720506326
MKD,0.148595745
MDG,2.783869737
MWI,3.072287728
MYS,1.470952411
MDV,2.015181544
MLI,2.933420467
MLT,0.947375259
MHL,0.211952693
MRT,2.472382509
MUS,0.181061469
MEX,1.321217635
FSM,0.313820879
MDA,-0.060885746
MCO,0.252824448
MNG,1.757597837
MNE,0.09541379
MAR,1.390819379
MOZ,2.790970183
MMR,0.85196116
NAM,2.369479939
NPL,1.213172492
NLD,0.295621411
NCL,1.515180502
NZL,1.510339485
NIC,1.141643124
NER,4.029436517
NGA,2.660487333
MNP,1.23975391
NOR,1.11300003
OMN,8.08855916
PAK,2.103437242
PLW,0.847301337
PAN,1.612187734
PNG,2.094693178
PRY,1.334291611
PER,1.32499896
PHL,1.593253248
POL,-0.117489523
PRT,-0.574471934
PRI,-1.328139143
QAT,3.312783791
ROM,-0.364449926
RUS,0.217632655
RWA,2.35027091
WSM,0.761315436
SMR,0.64776526
STP,2.145837472
SAU,2.244392708
SEN,3.125624981
SRB,-0.485590269
SYC,1.792514345
SLE,2.189341169
SGP,1.297297588
SXM,2.846525213
SVK,0.094406353
SVN,0.10989356
SLB,2.027864725
SOM,2.399954384
ZAF,1.57611958
SSD,3.915536494
ESP,-0.463196351
LKA,0.758721601
KNA,1.177184174
LCA,0.732343757
MAF,0.84721977
VCT,0.030180121
SDN,2.145269562
SUR,0.895407485
SWZ,1.466122343
SWE,0.924592435
CHE,1.239397114
SYR,1.676527755
TJK,2.242280464
TZA,3.154369428
THA,0.406217867
TMP,2.678725623
TGO,2.6553193
TON,0.424250251
TTO,0.461979352
TUN,1.00626446
TUR,1.221865501
TKM,1.272383604
TCA,1.90601644
TUV,0.171986486
UGA,3.25376537
UKR,-0.278913805
ARE,0.509332471
GBR,0.627596412
USA,0.742746144
URY,0.338250791
UZB,1.686900359
VUT,2.233477212
VEN,1.370475368
VNM,1.131807942
VIR,-0.542826609
WBG,2.957994955
YEM,2.515593122
ZMB,3.069640155
ZWE,2.307451177
