,index,date,time,tide_height,date_time,year,month,invalid,tide_height_prev
0,419331,2003/06/01,0:00:00,5.055,2003-06-01 00:00:00,2003,6,True,NA
1,419332,2003/06/01,0:15:00,5.238,2003-06-01 00:15:00,2003,6,True,5.055
2,419333,2003/06/01,0:30:00,5.377,2003-06-01 00:30:00,2003,6,True,5.238
3,419334,2003/06/01,0:45:00,5.471,2003-06-01 00:45:00,2003,6,True,5.377
4,419335,2003/06/01,1:00:00,5.508,2003-06-01 01:00:00,2003,6,True,5.471
5,419336,2003/06/01,1:15:00,5.474,2003-06-01 01:15:00,2003,6,True,5.508
6,419337,2003/06/01,1:30:00,5.372,2003-06-01 01:30:00,2003,6,True,5.474
7,419338,2003/06/01,1:45:00,5.205,2003-06-01 01:45:00,2003,6,True,5.372
8,419339,2003/06/01,2:00:00,4.987,2003-06-01 02:00:00,2003,6,True,5.205
9,419340,2003/06/01,2:15:00,4.743,2003-06-01 02:15:00,2003,6,True,4.987
10,419341,2003/06/01,2:30:00,4.47,2003-06-01 02:30:00,2003,6,True,4.743
11,419342,2003/06/01,2:45:00,4.18,2003-06-01 02:45:00,2003,6,True,4.47
12,419343,2003/06/01,3:00:00,3.887,2003-06-01 03:00:00,2003,6,True,4.18
13,419344,2003/06/01,3:15:00,3.587,2003-06-01 03:15:00,2003,6,True,3.887
14,419345,2003/06/01,3:30:00,3.289,2003-06-01 03:30:00,2003,6,True,3.587
15,419346,2003/06/01,3:45:00,2.99,2003-06-01 03:45:00,2003,6,True,3.289
16,419347,2003/06/01,4:00:00,2.695,2003-06-01 04:00:00,2003,6,True,2.99
17,419348,2003/06/01,4:15:00,2.416,2003-06-01 04:15:00,2003,6,True,2.695
18,419349,2003/06/01,4:30:00,2.149,2003-06-01 04:30:00,2003,6,True,2.416
19,419350,2003/06/01,4:45:00,1.905,2003-06-01 04:45:00,2003,6,True,2.149
20,419351,2003/06/01,5:00:00,1.684,2003-06-01 05:00:00,2003,6,True,1.905
21,419352,2003/06/01,5:15:00,1.496,2003-06-01 05:15:00,2003,6,True,1.684
22,419353,2003/06/01,5:30:00,1.346,2003-06-01 05:30:00,2003,6,True,1.496
23,419354,2003/06/01,5:45:00,1.217,2003-06-01 05:45:00,2003,6,True,1.346
24,419355,2003/06/01,6:00:00,1.114,2003-06-01 06:00:00,2003,6,True,1.217
25,419356,2003/06/01,6:15:00,1.029,2003-06-01 06:15:00,2003,6,True,1.114
26,419357,2003/06/01,6:30:00,0.955,2003-06-01 06:30:00,2003,6,True,1.029
27,419358,2003/06/01,6:45:00,0.895,2003-06-01 06:45:00,2003,6,True,0.955
28,419359,2003/06/01,7:00:00,0.851,2003-06-01 07:00:00,2003,6,True,0.895
29,419360,2003/06/01,7:15:00,0.836,2003-06-01 07:15:00,2003,6,True,0.851
30,419361,2003/06/01,7:30:00,0.86,2003-06-01 07:30:00,2003,6,True,0.836
31,419362,2003/06/01,7:45:00,0.928,2003-06-01 07:45:00,2003,6,True,0.86
32,419363,2003/06/01,8:00:00,1.048,2003-06-01 08:00:00,2003,6,True,0.928
33,419364,2003/06/01,8:15:00,1.215,2003-06-01 08:15:00,2003,6,True,1.048
34,419365,2003/06/01,8:30:00,1.415,2003-06-01 08:30:00,2003,6,True,1.215
35,419366,2003/06/01,8:45:00,1.642,2003-06-01 08:45:00,2003,6,True,1.415
36,419367,2003/06/01,9:00:00,1.891,2003-06-01 09:00:00,2003,6,True,1.642
37,419368,2003/06/01,9:15:00,2.144,2003-06-01 09:15:00,2003,6,True,1.891
38,419369,2003/06/01,9:30:00,2.392,2003-06-01 09:30:00,2003,6,True,2.144
39,419370,2003/06/01,9:45:00,2.633,2003-06-01 09:45:00,2003,6,True,2.392
40,419371,2003/06/01,10:00:00,2.866,2003-06-01 10:00:00,2003,6,True,2.633
41,419372,2003/06/01,10:15:00,3.101,2003-06-01 10:15:00,2003,6,True,2.866
42,419373,2003/06/01,10:30:00,3.332,2003-06-01 10:30:00,2003,6,True,3.101
43,419374,2003/06/01,10:45:00,3.566,2003-06-01 10:45:00,2003,6,True,3.332
