// global attributes:
// etag device attributes:
  :instrument_name = "172482_2010_100980"
  :instrument_type = "PSAT"
  :manufacturer = "Wildlife"
  :model = "miniPAT"
  :owner_contact = "camrin.braun@gmail.com"
  :person_owner = "Camrin Braun"
  :serial_number = "10P0160"
  :ptt = "100980"
// etag attachment attributes:
  :attachment_method = "caught on rod/reel"
// etag deployment attributes:
  :geospatial_lat_start = "28.33833333"
  :geospatial_lon_start = "-67.51933333"
  :time_coverage_start = "1291075200"
  :temp_degC_capture = "24.61111111"
// etag end of mission attributes:
  :time_coverage_end = "1298851200"
  :end_details = "Argos"
  :end_type = "popped off"
  :geospatial_lat_end = "30.8390007"
  :geospatial_lon_end = "-75.17098999"
// etag animal attributes:
  :platform = "Xiphias gladius"
  :taxonomic_serial_number = "172482"
// etag quality attributes:
  :found_problem = "no"
  :person_qc = "Camrin Braun"
// data:
// DateTime,VariableID,VariableValue,VariableName,VariableUnits
2010-11-30 00:00:00,1004,21.25,depthMin,meter
2010-11-30 00:00:00,1005,222.25,depthMax,meter
2010-11-30 14:00:00,301,0,HistDepthBinMin01,meter
2010-11-30 14:00:00,302,2,HistDepthBinMax01,meter
2010-11-30 14:00:00,303,2.1,HistDepthBinMin02,meter
2010-11-30 14:00:00,304,10,HistDepthBinMax02,meter
2010-11-30 14:00:00,305,10.1,HistDepthBinMin03,meter
2010-11-30 14:00:00,306,25,HistDepthBinMax03,meter
2010-11-30 14:00:00,307,25.1,HistDepthBinMin04,meter
2010-11-30 14:00:00,308,50,HistDepthBinMax04,meter
2010-11-30 14:00:00,309,50.1,HistDepthBinMin05,meter
2010-11-30 14:00:00,310,100,HistDepthBinMax05,meter
2010-11-30 14:00:00,311,100.1,HistDepthBinMin06,meter
2010-11-30 14:00:00,312,150,HistDepthBinMax06,meter
2010-11-30 14:00:00,313,150.1,HistDepthBinMin07,meter
2010-11-30 14:00:00,314,200,HistDepthBinMax07,meter
2010-11-30 14:00:00,315,200.1,HistDepthBinMin08,meter
2010-11-30 14:00:00,316,400,HistDepthBinMax08,meter
2010-11-30 14:00:00,317,400.1,HistDepthBinMin09,meter
2010-11-30 14:00:00,318,600,HistDepthBinMax09,meter
2010-11-30 14:00:00,319,600.1,HistDepthBinMin10,meter
2010-11-30 14:00:00,320,800,HistDepthBinMax10,meter
2010-11-30 14:00:00,321,800.1,HistDepthBinMin11,meter
2010-11-30 14:00:00,322,1000,HistDepthBinMax11,meter
2010-11-30 14:00:00,323,1000.1,HistDepthBinMin12,meter
2010-11-30 14:00:00,324,2000,HistDepthBinMax12,meter
2010-11-30 14:00:00,333,0,HistTempBinMin01,Celsius
2010-11-30 14:00:00,334,3,HistTempBinMax01,Celsius
